timestamp,free_heap_kb,stack_hwm_bytes,net_activity,msg_size,sign_time_ms,label,true_algo
1761018934108,247.82,6064,1,64,410.11,0,0
1761018936258,237.62,6064,2,32,148.89,1,0
1761018938409,247.86,6064,1,1024,149.09,1,0
1761018940581,237.62,6064,2,128,171.08,1,0
1761018942815,247.86,6064,1,256,232.36,0,0
1761018945184,237.62,6064,2,1024,366.02,0,0
1761018947317,247.86,6064,1,256,132.56,1,0
1761018949410,237.43,6064,2,1024,91.65,1,0
1761018951614,247.63,6064,1,1024,201.76,0,0
1761018953714,247.86,6064,1,32,98.57,1,0
1761018955860,237.62,6064,2,32,145.61,1,0
1761018958071,247.86,6064,1,32,209.76,0,0
1761018960244,237.62,6064,2,64,172.48,1,0
1761018962494,247.86,6064,1,256,248.14,0,0
1761018964822,237.62,6064,2,256,325.7,0,0
1761018966994,247.86,6064,1,1024,169.57,1,0
1761018969124,237.62,6064,2,256,129.3,1,0
1761018971382,247.86,6064,1,1024,256.64,0,0
1761018973851,237.62,6064,2,128,467.79,0,0
1761018976214,247.86,6064,1,64,360.85,0,0
1761018978340,237.62,6064,2,128,124.8,1,0
1761018982167,247.86,6064,1,128,1825.01,0,0
1761018984496,237.62,6064,2,64,327.93,0,0
1761018986637,247.86,6064,1,64,140.24,1,0
1761018988803,237.62,6064,2,64,164.61,1,0
1761018991960,247.86,6064,1,512,1154.9,0,0
1761018994336,237.62,6064,2,128,376.12,0,0
1761018996470,247.86,6064,1,1024,130.12,1,0
1761018998562,237.62,6064,2,32,91.4,1,0
1761019000766,242.02,6064,1,32,202.74,0,0
1761019002915,247.86,6064,1,1024,146.41,1,0
1761019005067,237.62,6064,2,1024,150.48,1,0
1761019007165,247.86,6064,1,1024,96.23,1,0
1761019009675,237.62,6064,2,256,509.92,0,0
1761019011824,247.86,6064,1,128,147.86,1,0
1761019013924,237.62,6064,2,256,99.15,1,0
1761019016128,247.86,6064,1,512,202.51,0,0
1761019019429,237.62,6064,2,32,1299.78,0,0
1761019021657,247.86,6064,1,512,227.0,0,0
1761019023804,237.62,6064,2,1024,145.49,1,0
1761019025987,247.86,6064,1,64,182.48,1,0
1761019028105,237.62,6064,2,512,115.97,1,0
1761019030256,247.86,6064,1,512,149.95,1,0
1761019032410,237.62,6064,2,256,152.09,1,0
1761019034667,247.86,6064,1,128,255.46,0,0
1761019037170,237.62,6064,2,64,501.2,0,0
1761019039420,247.86,6064,1,512,250.02,0,0
1761019042039,247.86,6064,1,256,617.54,0,0
1761019044596,237.62,6064,2,512,555.14,0,0
1761019046948,247.86,6064,1,1024,349.02,0,0
1761019049310,237.62,6064,2,512,360.13,0,0
1761019051486,247.86,6064,1,256,175.07,1,0
1761019053608,237.62,6064,2,64,120.45,1,0
1761019055702,247.86,6064,1,256,92.36,1,0
1761019057910,237.43,6064,2,1024,206.86,0,0
1761019060158,247.86,6064,1,256,247.08,0,0
1761019062525,237.62,6064,2,128,365.78,0,0
1761019064673,248.06,6064,1,1024,145.34,1,0
1761019066764,237.62,6064,2,1024,89.92,1,0
1761019068974,242.02,6064,1,32,209.31,0,0
1761019071060,248.06,6064,1,64,85.01,1,0
1761019073267,237.62,6064,2,32,205.39,0,0
1761019075414,244.81,6064,1,512,145.3,1,0
1761019077565,248.06,6064,1,32,149.2,1,0
1761019079720,237.43,6064,2,512,153.37,1,0
1761019081875,246.33,6064,1,256,153.52,1,0
1761019083971,237.62,6064,2,128,93.84,1,0
1761019086170,248.06,6064,1,1024,197.05,1,0
1761019088322,237.62,6064,2,512,151.4,1,0
1761019090517,248.06,6064,1,256,194.46,1,0
1761019092961,237.62,6064,2,256,442.1,0,0
1761019095024,248.06,6064,1,64,61.63,1,0
1761019097234,237.62,6064,2,128,210.12,0,0
1761019099380,248.06,6064,1,256,144.36,1,0
1761019101534,237.62,6064,2,32,152.92,1,0
1761019103785,247.9,6064,1,256,250.68,0,0
1761019106145,237.62,6064,2,1024,357.11,0,0
1761019108291,241.89,6064,1,128,144.41,1,0
1761019110439,248.06,6064,1,64,147.52,1,0
1761019112589,237.62,6064,2,128,148.19,1,0
1761019114740,248.06,6064,1,64,149.53,1,0
1761019116900,237.62,6064,2,32,159.57,1,0
1761019119042,248.06,6064,1,1024,139.38,1,0
1761019121395,237.62,6064,2,256,351.46,0,0
1761019123655,241.89,6064,1,512,258.16,0,0
1761019126004,248.06,6064,1,1024,346.8,0,0
1761019128257,237.62,6064,2,512,250.16,0,0
1761019130413,248.06,6064,1,128,154.32,1,0
1761019132603,237.62,6064,2,64,188.3,1,0
1761019134960,248.06,6064,1,32,355.74,0,0
1761019137162,237.62,6064,2,128,200.11,0,0
1761019139315,241.89,6064,1,512,152.42,1,0
1761019141490,248.06,6064,1,128,172.85,1,0
1761019143666,237.62,6064,2,256,175.36,1,0
1761019146076,248.06,6064,1,64,408.69,0,0
1761019148228,237.62,6064,2,32,150.67,1,0
1761019150424,248.06,6064,1,512,194.45,1,0
1761019152971,237.62,6064,2,512,545.55,0,0
1761019155293,246.33,6064,1,512,319.82,0,0
1761019157441,236.1,6064,2,32,146.76,1,0
1761019159608,246.54,6064,1,256,165.2,1,0
1761019162051,237.83,6064,2,1024,441.81,0,0
1761019164303,248.27,6064,1,256,250.17,0,0
1761019166656,237.83,6064,2,512,351.08,0,0
1761019168909,248.27,6064,1,32,250.63,0,0
1761019171260,237.83,6064,2,256,351.1,0,0
1761019173417,242.22,6064,1,64,155.5,1,0
1761019175511,248.27,6064,1,256,92.02,1,0
1761019177717,237.83,6064,2,1024,203.35,0,0
1761019179968,248.27,6064,1,1024,245.99,0,0
1761019182320,237.83,6064,2,512,349.98,0,0
1761019184476,248.06,6064,1,128,154.92,1,0
1761019186627,237.62,6064,2,1024,148.12,1,0
1761019188786,248.06,6064,1,1024,156.62,1,0
1761019190927,237.62,6064,2,256,140.59,1,0
1761019193078,244.65,6064,1,64,148.38,1,0
1761019195171,244.81,6064,1,256,92.36,1,0
1761019197479,244.81,6064,1,512,307.01,0,0
1761019200088,237.62,6064,2,64,606.96,0,0
1761019202292,248.06,6064,1,512,202.25,0,0
1761019204540,237.62,6064,2,512,246.29,0,0
1761019206949,248.03,6064,1,64,407.68,0,0
1761019209358,237.62,6064,2,128,407.11,0,0
1761019211509,248.06,6064,1,256,149.63,1,0
1761019213661,237.62,6064,2,32,149.79,1,0
1761019215812,242.02,6064,1,128,149.28,1,0
1761019217960,247.86,6064,1,64,146.11,1,0
1761019220138,237.62,6064,2,128,177.09,1,0
1761019222363,248.06,6064,1,64,223.24,0,0
1761019224753,237.62,6064,2,64,388.8,0,0
1761019226867,248.06,6064,1,64,112.8,1,0
1761019229122,237.62,6064,2,256,252.6,0,0
1761019231502,248.06,6064,1,1024,377.37,0,0
1761019233729,237.62,6064,2,32,225.71,0,0
1761019236085,248.06,6064,1,256,354.64,0,0
1761019238333,237.62,6064,2,256,247.05,0,0
1761019240696,248.06,6064,1,32,362.52,0,0
1761019242841,237.62,6064,2,256,144.05,1,0
1761019244992,248.27,6064,1,32,149.6,1,0
1761019247086,237.83,6064,2,256,92.04,1,0
1761019249292,242.22,6064,1,256,205.17,0,0
1761019251444,248.48,6064,1,512,149.72,1,0
1761019253730,238.04,6064,2,256,285.13,0,0
1761019256052,248.68,6064,1,1024,317.85,0,0
1761019258201,238.24,6064,2,1024,147.32,1,0
1761019260352,248.89,6064,1,64,149.69,1,0
1761019262626,238.66,6064,2,32,272.59,0,0
1761019265271,249.1,6064,1,1024,639.87,0,0
1761019267521,249.3,6064,1,512,248.91,0,0
1761019269871,238.86,6064,2,256,348.03,0,0
1761019272146,249.3,6064,1,1024,272.66,0,0
1761019274483,238.86,6064,2,256,335.6,0,0
1761019276636,249.3,6064,1,32,150.98,1,0
1761019278787,238.86,6064,2,512,150.15,1,0
1761019280949,249.3,6064,1,32,161.22,1,0
1761019283115,238.86,6064,2,512,163.97,1,0
1761019285235,249.1,6064,1,512,118.21,1,0
1761019287388,238.86,6064,2,512,150.81,1,0
1761019289538,249.1,6064,1,1024,147.67,1,0
1761019291790,238.86,6064,2,128,250.83,0,0
1761019294259,249.1,6064,1,512,467.96,0,0
1761019296703,238.86,6064,2,32,443.62,0,0
1761019299096,249.1,6064,1,64,391.4,0,0
1761019301252,238.86,6064,2,128,154.8,1,0
1761019303668,249.1,6064,1,32,414.83,0,0
1761019305822,238.66,6064,2,32,153.51,1,0
1761019308015,248.89,6064,1,256,191.57,1,0
1761019310424,238.45,6064,2,128,407.75,0,0
1761019312578,248.68,6064,1,128,152.09,1,0
1761019314669,238.24,6064,2,1024,89.07,1,0
1761019316875,241.91,6064,1,1024,203.98,0,0
1761019318972,248.48,6064,1,512,95.04,1,0
1761019321311,238.04,6064,2,1024,336.93,0,0
1761019323635,248.27,6064,1,32,320.94,0,0
1761019325785,237.83,6064,2,1024,148.02,1,0
1761019328037,248.06,6064,1,128,250.74,0,0
1761019330401,237.62,6064,2,32,362.87,0,0
1761019332595,247.86,6064,1,512,191.47,1,0
1761019334944,237.62,6064,2,64,346.9,0,0
1761019337151,247.86,6064,1,256,205.06,0,0
1761019339299,237.62,6064,2,32,146.9,1,0
1761019341453,247.86,6064,1,512,151.88,1,0
1761019343646,237.62,6064,2,64,191.42,1,0
1761019346084,247.86,6064,1,1024,435.5,0,0
1761019348211,237.62,6064,2,128,125.41,1,0
1761019350358,247.86,6064,1,64,143.58,1,0
1761019353940,237.62,6064,2,32,1581.33,0,0
1761019356203,247.86,6064,1,32,261.84,0,0
1761019358347,237.62,6064,2,64,142.35,1,0
1761019360495,242.02,6064,1,64,145.74,1,0
1761019362681,247.86,6064,1,64,184.32,1,0
1761019364796,237.62,6064,2,256,113.67,1,0
1761019366956,247.86,6064,1,256,159.35,1,0
1761019369200,237.62,6064,2,32,241.95,0,0
1761019371556,247.86,6064,1,256,354.53,0,0
1761019373704,237.62,6064,2,256,146.72,1,0
1761019375892,247.86,6064,1,64,186.41,1,0
1761019377954,237.62,6064,2,256,60.91,1,0
1761019380407,247.86,6064,1,128,451.51,0,0
1761019382721,237.62,6064,2,256,312.59,0,0
1761019385074,247.86,6064,1,512,350.03,0,0
1761019387264,237.62,6064,2,128,189.1,1,0
1761019389780,247.86,6064,1,512,514.39,0,0
1761019392346,237.62,6064,2,1024,565.06,0,0
1761019394598,247.86,6064,1,128,250.5,0,0
1761019397979,237.62,6064,2,512,1379.05,0,0
1761019400140,247.86,6064,1,64,160.24,1,0
1761019402274,237.62,6064,2,256,132.41,1,0
1761019404427,247.86,6064,1,64,149.34,1,0
1761019406577,237.62,6064,2,64,149.03,1,0
1761019408827,247.86,6064,1,64,248.2,0,0
1761019411288,237.62,6064,2,512,460.12,0,0
1761019413662,247.86,6064,1,1024,370.84,0,0
1761019415946,237.62,6064,2,32,283.25,0,0
1761019418256,241.89,6064,1,64,309.36,0,0
1761019420403,247.86,6064,1,128,144.95,1,0
1761019422553,237.62,6064,2,256,149.05,1,0
1761019424806,247.86,6064,1,128,251.47,0,0
1761019427160,237.62,6064,2,1024,353.22,0,0
1761019429413,247.86,6064,1,128,251.37,0,0
1761019431772,237.62,6064,2,32,358.33,0,0
1761019433920,247.86,6064,1,1024,145.6,1,0
1761019436171,237.62,6064,2,128,250.96,0,0
1761019438527,248.06,6064,1,256,354.43,0,0
1761019440703,237.62,6064,2,32,174.35,1,0
1761019442850,242.02,6064,1,128,145.38,1,0
1761019445078,248.06,6064,1,128,226.27,0,0
1761019447755,237.62,6064,2,128,675.59,0,0
1761019449894,248.06,6064,1,32,138.16,1,0
1761019451988,237.62,6064,2,128,92.4,1,0
1761019454205,247.86,6064,1,1024,215.15,0,0
1761019456354,237.62,6064,2,512,147.06,1,0
1761019458511,248.06,6064,1,128,155.97,1,0
1761019460650,237.62,6064,2,64,136.77,1,0
1761019462797,248.06,6064,1,512,146.03,1,0
1761019464990,237.62,6064,2,512,190.96,1,0
1761019467404,248.06,6064,1,1024,411.39,0,0
1761019469596,237.62,6064,2,1024,189.4,1,0
1761019472011,248.06,6064,1,128,413.69,0,0
1761019474209,237.62,6064,2,1024,196.35,1,0
1761019476620,244.95,6064,1,128,410.0,0,0
1761019478770,248.06,6064,1,64,148.91,1,0
1761019480921,237.62,6064,2,1024,148.38,1,0
1761019483072,248.06,6064,1,32,150.4,1,0
1761019485326,237.62,6064,2,1024,252.42,0,0
